Na,Cl,Water,Fe,Cu
90.00766999,32.03552695,22.01460129,195.3937975,212.0894147
99.0513721,33.744764,22.71644165,190.9962676,207.0684705
108.3420986,36.14719465,24.2062161,182.0948865,198.4188382
115.7459005,38.98659879,26.31683547,170.2399264,187.6300009
117.9606027,40.91424728,28.15175462,157.6999756,177.3040953
111.6526556,40.22967813,28.51468332,146.9703989,170.4851611
96.30061435,36.31468967,26.86450403,139.6503517,168.9159488
75.83482866,30.31517257,23.79438648,135.4430895,171.2411736
56.2469549,24.19350454,20.47647679,132.3756265,172.9864398
41.69465388,19.28869016,17.7621698,128.0051934,169.0296318
32.70600887,15.78608758,15.81567207,121.0747388,157.2548262
27.71301849,13.34052209,14.44206408,112.3668363,140.2296105
24.974374,11.66744978,13.44492654,103.91896,123.1292368
23.44564575,10.66587061,12.73994443,97.43436412,109.9788507
22.61723666,10.24265675,12.28256732,93.45884366,101.8852791
22.226687,10.24133808,12.02280622,91.54386417,97.6824032
22.09674853,10.47817458,11.89789104,90.92885564,95.69524806
22.08472441,10.80370241,11.84024987,90.94729072,94.73971946
22.0618482,11.11741483,11.78346162,91.09535616,94.24167766
21.91035796,11.34640167,11.66976945,90.91139521,93.93279895
21.54641886,11.41534715,11.46278124,89.90727699,93.58988322
20.95288538,11.25572267,11.15579983,87.69430794,92.99784973
20.19577151,10.84791356,10.77411712,84.22402608,92.01016349
19.38715398,10.24850258,10.36151816,79.86978742,90.52656597
18.62964953,9.56970276,9.96419589,75.2725408,88.41193693
17.96904879,8.91777615,9.61118641,70.98843013,85.49994522
17.40743252,8.35732752,9.31376172,67.31479083,81.79139703
16.93318164,7.90626712,9.07173937,64.28747784,77.61397828
16.54895155,7.56455598,8.8873642,61.81632419,73.53585293
16.26166124,7.32989232,8.76548583,59.8260933,70.12101456
16.06461256,7.20169865,8.70619309,58.27345902,67.66325868
15.92351209,7.16943991,8.69377115,57.1053467,66.10977713
15.78761506,7.20798642,8.69769335,56.24035913,65.16807483
15.61239482,7.28323667,8.6852625,55.60246435,64.44698086
15.38371368,7.36480685,8.63765811,55.24645805,63.61304387
15.1244673,7.43580692,8.55744325,55.49345371,62.49597163
14.88683784,7.49322459,8.46526464,57.01619929,61.12725994
14.73055518,7.54431847,8.38958802,60.76694485,59.70713608
14.70372556,7.60013813,8.35749486,67.67833241,58.48201281
14.8241569,7.66666294,8.38513899,78.04501641,57.61909287
15.06611265,7.73151475,8.46875912,90.84276328,57.10304356
15.35643721,7.75697037,8.57898194,103.4998484,56.72390653
15.58504004,7.68959582,8.66489759,112.4012074,56.16826613
15.63870928,7.48774181,8.6727672,114.4183357,55.16655114
15.4406802,7.14939278,8.56894642,108.3846941,53.63466176
14.98271791,6.71885409,8.35515625,95.78572409,51.71902622
14.32553925,6.26471411,8.06352446,79.9435135,49.71943551
13.5770909,5.8515246,7.73986381,64.51628488,47.97570521
12.84844228,5.51477238,7.42170332,51.97489824,46.7505205
12.22579721,5.26207551,7.13117123,43.20449051,46.2040217
11.75022015,5.08272357,6.87549316,37.81231567,46.38654514
11.4285449,4.96503609,6.65909469,34.8553944,47.23762278
11.24815337,4.90552496,6.4902352,33.46114885,48.56592961
11.19836017,4.91377039,6.3855213,33.06085821,50.05334506
11.27690981,5.00862286,6.36453565,33.38651631,51.33195299
11.48336336,5.20688662,6.44117457,34.33454357,52.09584948
11.80174003,5.50704308,6.6117535,35.8098374,52.21047381
12.18137493,5.87190217,6.84527244,37.60377793,51.71149852
